~/mlp/results_discussion.txt

This model lacks the ability to predict down days.

This is somewhat expected because the model was built after
I noticed Mean Reversion behavior and used that analysis
to design my training vectors.

Mean Reversion works better at predicting up days than at predicting down days.

Additionally, the out of sample data were the days between
2013-01-02 and 2014-01-31 which had a total gain of
(178-145)/145 which is a healthy 23%.

Predicting down days in 2013 was difficult because much of the time
the market was going up.

Also, the vector length I'm using in this model is only 2.

And, the only 'pure' information used in my vector design is price.

I ignore other sources of information like volume, sentiment,
calendar events, interest rates, energy prices, currency behavior, and media events.

The good news is that I see a positive correlation between prediction
confidence levels and corresponding gains.

For example when confidence is above 0.51,
I see an average 1 day gain of 0.065%.

when confidence is above 0.54,
I see an average 1 day gain of 0.094%
which is 44% higher.

The results from the reporting script I wrote are listed below:



dan@madlibsvm ~/mlp $
dan@madlibsvm ~/mlp $
dan@madlibsvm ~/mlp $
dan@madlibsvm ~/mlp $ ./psqlmad.bash -f predict_oosd.sql 
--
-- ~/mlp/predict_oosd.sql
--
-- I use this script to predict outcomes of
-- Out of sample observations with known outcomes.
-- Then I report on the accuracy of the predictions.
DROP TABLE oosd_predictions;
DROP TABLE
CREATE TABLE oosd_predictions AS
SELECT
ydate
,madlib.logistic(madlib.array_dot(my_out_table.coef,
  array[1,prev_1st_n1dg, prev_2nd_n1dg]::float8[])) AS probability
,ROUND(n1dg,7) n1dg
FROM oos_vectors, my_out_table
ORDER BY ydate
;
SELECT 274
SELECT * FROM oosd_predictions;
   ydate    |    probability    |    n1dg    
------------+-------------------+------------
 2013-01-02 | 0.473965378854513 | -0.0022593
 2013-01-03 | 0.511528048926806 |  0.0043917
 2013-01-04 | 0.522691985604838 | -0.0027328
 2013-01-07 | 0.528811315285762 | -0.0028773
 2013-01-08 | 0.534572973092801 |  0.0025421
 2013-01-09 | 0.526104963649057 |  0.0079496
 2013-01-10 | 0.513306538690787 | -0.0000680
 2013-01-11 | 0.521820369134225 | -0.0006799
 2013-01-14 | 0.529025754943047 |  0.0006804
 2013-01-15 | 0.527346478044681 | -0.0001360
 2013-01-16 | 0.527582400125399 |  0.0064604
 2013-01-17 | 0.517756953411958 |  0.0022297
 2013-01-18 | 0.519334369013105 |  0.0053934
 2013-01-22 | 0.517608095950217 |  0.0016093
 2013-01-23 | 0.521149287035604 |  0.0002678
 2013-01-24 | 0.526220359391876 |  0.0056221
 2013-01-25 | 0.518772884992886 | -0.0011980
 2013-01-28 | 0.525422880089976 |  0.0039315
 2013-01-29 | 0.522595899574227 | -0.0039161
 2013-01-30 | 0.531042556895362 | -0.0024655
 2013-01-31 | 0.534839972418736 |  0.0102872
 2013-02-01 | 0.513496174479704 | -0.0112404
 2013-02-04 | 0.537694364034518 |  0.0100976
 2013-02-05 | 0.520631288003025 |  0.0007282
 2013-02-06 |  0.51888496934623 | -0.0013231
 2013-02-07 | 0.529425588736225 |  0.0055644
 2013-02-08 | 0.520103106520934 | -0.0001976
 2013-02-11 | 0.523881908126531 |  0.0016472
 2013-02-12 |  0.52543930553393 |  0.0008552
 2013-02-13 | 0.525259964203521 |  0.0009201
 2013-02-14 | 0.525772964554255 | -0.0011820
 2013-02-15 | 0.529052925078922 |  0.0074946
 2013-02-19 | 0.516930068166332 | -0.0124633
 2013-02-20 | 0.541789228126068 | -0.0060790
 2013-02-21 | 0.547162975108494 |  0.0097726
 2013-02-22 | 0.517128171280695 | -0.0190269
 2013-02-25 | 0.550369743418906 |  0.0068456
 2013-02-26 | 0.531839305879802 |  0.0125983
 2013-02-27 | 0.502566405158174 | -0.0019749
 2013-02-28 | 0.521226874741015 |  0.0032979
 2013-03-01 | 0.524204939671229 |  0.0053251
 2013-03-04 | 0.516884538951103 |  0.0089589
 2013-03-05 | 0.509534430578432 |  0.0013611
 2013-03-06 | 0.518767369148242 |  0.0018123
 2013-03-07 | 0.523965195659304 |  0.0042641
 2013-03-08 | 0.519725192844648 |  0.0037957
 2013-03-11 |  0.51855951326689 | -0.0022432
 2013-03-12 |  0.52849896964982 |  0.0014132
 2013-03-13 | 0.527400794023785 |  0.0053239
 2013-03-14 | 0.518354227442104 | -0.0057424
 2013-03-15 | 0.532851578143945 | -0.0055188
 2013-03-18 | 0.541079905127102 | -0.0023230
 2013-03-19 | 0.535858159866181 |  0.0069853
 2013-03-20 |  0.51862695851379 | -0.0085426
 2013-03-21 | 0.535991156902521 |  0.0080332
